Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,CleanedReview
567533,B003JO0VV2,A18X75OXJDDCI3,robyn,10,11,4,1308700800,"fairly misleading,weird packaging,BUT MAKES GOOD KEFIR","I bought this product around the beginning to middle of May 2011 &, at that time, it showed a picture of the box from the company Cultures for Health LLC.  It also had (& still has) their name on it as ""by Cultures of Health LLC"" but then further down is says ""Ships from and sold by Lifetime Kefir.""  I just want to clarify for everyone out there, who like me thought I was buying from a specific COMPANY that sells milk kefir, that this is not sold through Cultures for Health & it is not sponsored or affiliated with them in any way.  I contacted Cultures for Health today and the customer service lady said that they are not affiliated with this ""Lifetime Kefir"". I also received my kefir grains in a plastic baggie & wrapped in about 5 more plastic baggies, all smooshed up flat, and looking nothing like the cauliflower looking kefir grains you see pictures of.  Needless to say I was a little freaked out.  I decided to just try it out & see if the kefir grew and 'worked'.  -----  THAT BEING SAID ..... the kefir grew wonderfully! and has tripled or quadrupled in a months time.  I also sent the seller a question after working with and growing my kefir for about 2 or 3 days and he gave me a quick, polite, fairly thorough answer. Customer service seemed just good ... and quick.  I started with making about 1c of kefir and it was fizzy, clumpy/watery, weird.  I didn't know what I was supposed to be looking for but I guess this is normal and I just kept working with it each day changing the milk out and making new kefir.  It took about 1-2 weeks before it was producing well and I was making good kefir (not fizzy, but creamy now).  I was slowly figuring out how to work with the product.  I now make a quart jar of kefir daily.  I switch out the grains/kefir each morning and am left with about 3-4 cups of kefir each day.  All-in-all, I think the product is good. *****UPDATE 7/13/11******:  Since the initial review here, I have contacted the seller about some things & have had wonderful, very polite, and very quick customer service.  There is nothing bad to say at all about the customer service with this seller, in my opinion.  He seems to go out of the way to make sure the buyer is fully satisfied with the product.  And the product seems great.  My grains have grown tremendously and I have probably 1 to 1 1/2 CUPS of kefir GRAINS now.  That is all from about 1T of smooshy, yellow looking 'stuff' (kefir grains) that I initially got from the seller.  It took a couple weeks for them to start working ""normally"" and looking more ""normal"" but just give them some time and they seem to come through and make great kefir.  The only reason for less than 5 stars is simply because I feel like there still is a little misleading advertising in the product.  It appears this seller (Lifetime Kefir) has a few different kefir grain ads/products on amazon & the one that I bought from ([...]) shows that it is ""by: Cultures for Health, LLC"" and ""shipped and sold by Lifetime Kefir"".  I thought I was buying the grains from Culture for Health through a middle-man, so to speak.  When actually it is not a Cultures for Health product at all.  Maybe no big deal to others, but it was for me.  It ended up being a great product in the end though.",bought product around beginning middle may time showed picture box company culture health llc also still name culture health llc say ship sold lifetime kefir want clarify everyone like thought buying specific company sell milk kefir sold culture health sponsored affiliated way contacted culture health today customer service lady said affiliated lifetime kefir also received kefir grain plastic baggie wrapped plastic baggies smooshed flat looking nothing like cauliflower looking kefir grain see picture needless say little freaked decided try see kefir grew worked said kefir grew wonderfully tripled quadrupled month time also sent seller question working growing kefir day gave quick polite fairly thorough answer customer service seemed good quick started making c kefir fizzy clumpywatery weird didnt know supposed looking guess normal kept working day changing milk making new kefir took week producing well making good kefir fizzy creamy slowly figuring work product make quart jar kefir daily switch grainskefir morning left cup kefir day allinall think product good update since initial review contacted seller thing wonderful polite quick customer service nothing bad say customer service seller opinion seems go way make sure buyer fully satisfied product product seems great grain grown tremendously probably cup kefir grain smooshy yellow looking stuff kefir grain initially got seller took couple week start working normally looking normal give time seem come make great kefir reason less star simply feel like still little misleading advertising product appears seller lifetime kefir different kefir grain adsproducts amazon one bought show culture health llc shipped sold lifetime kefir thought buying grain culture health middleman speak actually culture health product maybe big deal others ended great product end though
567534,B003JO0VV2,A1S20C2OF69Q0B,Rebecca,6,6,5,1299369600,Easier than Jell-o. For real.,"This is awesome! My kitchen is like an alchemist's tower now. Within 4 days, my little kefir grains started reliably producing unfathomably delicious kefir that is foamier, thicker, and infinitely better than the stuff my local co-op was gouging me for.<br /><br />It sets up, at least in my toasty casa, in under 12 hours. Left longer than that, it turns into horse sweat cheese. I keep it in the fridge until I am running low, and then bring it to room temp and let it work its magic.",awesome kitchen like alchemist tower within day little kefir grain started reliably producing unfathomably delicious kefir foamier thicker infinitely better stuff local coop gouging forit set least toasty casa hour left longer turn horse sweat cheese keep fridge running low bring room temp let work magic
567535,B003JO0VV2,A2TR2YIAZUNM18,F. Terry,14,17,1,1303084800,Milk Kefir Grains - from man-of-genius,"People who have experience making Kefir tell me that what<br />I received may never develop into true Kefir grains. What I<br />received is a business sized envelope with a badly copied<br />letter telling me: 1. feed them milk daily - it will take 4<br />to 6 weeks to get Grains. 2. A fraction of an ounce of some<br />milky looking substance that  was squashed flat by the mail<br />canceling machine.  3. I can send questions by email, but he<br />only answers questions from those who can prove that they also<br />bought his video about Kefir and can prove it by sending the<br />electronic receipt. In my opinion, this product should receive<br />a NEGATIVE 6 stars.",people experience making kefir tell whati received may never develop true kefir grain ireceived business sized envelope badly copiedletter telling feed milk daily take week get grain fraction ounce somemilky looking substance squashed flat mailcanceling machine send question email heonly answer question prove alsobought video kefir prove sending theelectronic receipt opinion product receivea negative star
567536,B003JO0VV2,A3SBGVCOIV8F0Y,G. Shank,5,5,1,1336780800,"Very small quantity, poor growth","I got these dehydrated kefir grains two weeks ago. When re-hydrated there was a very tiny amount of actual grains. I put them in a jar with milk on a seedling mat to keep them the right temperature (our house is cool at night) and was very careful, and yet the milk kept curdling because there weren't enough grains, or just going yeasty. And they're growing very, very slowly. Two weeks later and I have a half teaspoon of grains. So far the milk has never smelled anything like kefir. In desperation I started adding some kefir powder and kefir, thinking that maybe they'd pick up some missing bacteria. Also, the instructions are misleading when they talk about it taking two weeks to ""rehydrate"". What you're doing is growing them to the point that you have enough to actually make kefir. I'm starting to think that dehydrated grains are a bad idea. But at the very least they ought to give you enough of them, instead of the tiny amount.<br /><br />Because it didn't seem like it was working very well, I ordered two tablespoons of live kefir grains from another vendor. They arrived yesterday, and I put them in milk. Today I think I have almost a quarter cup of grains. They seem to have already grown noticeably.<br /><br />Out of curiosity I'm still going to try to get these grains to work. I'm going to try a much smaller amount of milk so the kefir grains aren't overwhelmed. I'll update this review if it ever works.",got dehydrated kefir grain two week ago rehydrated tiny amount actual grain put jar milk seedling mat keep right temperature house cool night careful yet milk kept curdling werent enough grain going yeasty theyre growing slowly two week later half teaspoon grain far milk never smelled anything like kefir desperation started adding kefir powder kefir thinking maybe theyd pick missing bacteria also instruction misleading talk taking two week rehydrate youre growing point enough actually make kefir im starting think dehydrated grain bad idea least ought give enough instead tiny amountbecause didnt seem like working well ordered two tablespoon live kefir grain another vendor arrived yesterday put milk today think almost quarter cup grain seem already grown noticeablyout curiosity im still going try get grain work im going try much smaller amount milk kefir grain arent overwhelmed ill update review ever work
567537,B003JO0VV2,A1W64CJA064YP3,Mrs. P,5,5,5,1298332800,Great first experience!,"Milk Kefir Grains arrived in a timely manner in great condition. I am a first-time user of Kefir and until recently had never even heard of it. In a quest to achieve optimal health, I came across information about the benefits of cultured milk products, like kefir, in <a href=""http://www.amazon.com/gp/product/0967089735"">Nourishing Traditions:  The Cookbook that Challenges Politically Correct Nutrition and the Diet Dictocrats</a> by Sally Fallon. I was a bit nervous to use this product without actually ""seeing"" how it was done, so I went to the ""Cultures for Health"" website to watch the video. It was exactly the support I needed to have the confidence to start something that seemed so foreign!<br /><br />The first day I began to hydrate my grains, I mixed a cup of whole raw milk and the kefir grains in a canning jar with a coffee filter fixed to the top with a rubber band. The weather outside was very cold and subsequently it was pretty chilly on the inside of the house too, so I turned my oven light on and place the jar as far away from the light as possible and closed the door. I repeated this process the 2nd and 3rd day, but by the 4th day decided to leave it on the counter since the milk was separating to curds and whey by the end of the 24 hr period. I had kefir by day 5! It tasted clean and a little like buttermilk, yummy! I'm still learning, but feel confident that I'm off to a great start, thanks to Cultures for Health <a href=""http://www.amazon.com/gp/product/B003JO0VV2"">Milk Kefir Grains</a>!<br /><br />I'm thrilled to have this product! I save money by not having to buy powders, and my homemade kefir is better for my family than the pasteurized, sugar-filled, store-bought (expensive) version!",milk kefir grain arrived timely manner great condition firsttime user kefir recently never even heard quest achieve optimal health came across information benefit cultured milk product like kefir nourishing tradition cookbook challenge politically correct nutrition diet dictocrats sally fallon bit nervous use product without actually seeing done went culture health website watch video exactly support needed confidence start something seemed foreignthe first day began hydrate grain mixed cup whole raw milk kefir grain canning jar coffee filter fixed top rubber band weather outside cold subsequently pretty chilly inside house turned oven light place jar far away light possible closed door repeated process nd rd day th day decided leave counter since milk separating curd whey end hr period kefir day tasted clean little like buttermilk yummy im still learning feel confident im great start thanks culture health milk kefir grainsim thrilled product save money buy powder homemade kefir better family pasteurized sugarfilled storebought expensive version
567538,B003JO0VV2,A1V4IS66DRYP77,Susan Reece,5,5,5,1296604800,Great product,"I used buy kefir from the grocery store or make it from kefir powder starter.  I read about kefir grains and wow, what a difference making kefir with them makes.  They arrived right on time and in perfect condition.  The directions were easy to follow. I did go to ""Cultures for Health"" website to watch the video which was also very helpful.",used buy kefir grocery store make kefir powder starter read kefir grain wow difference making kefir make arrived right time perfect condition direction easy follow go culture health website watch video also helpful
567539,B003JO0VV2,ABCZGW2F020KZ,Pat,9,11,1,1295654400,Could not revive the grains,"After several months and much wasted milk I've given up on these grains. I'm pretty experienced with kefir making. I've bought kefir grains before, but always live, never dried. I followed the reviving directions exactly, but the resulting kefir smelled and tasted foul, there was always too much moldy ""flowers of kefir"" after just one or two days, and there was never any kefirian.",several month much wasted milk ive given grain im pretty experienced kefir making ive bought kefir grain always live never dried followed reviving direction exactly resulting kefir smelled tasted foul always much moldy flower kefir one two day never kefirian
567540,B003JO0VV2,AAED1121BJWA2,Christy L. Markley,4,4,5,1307491200,Great product!,"I have enjoyed kefir since a few days after I received this. I set it out on my counter every day with 1 cup of cow's milk and the next day I strain it with my plastic strainer, wash the glass jar, and then put the kefir back into the clean jar for the next day. I use the kefir to soak oats for breakfast the next day. I can then have this delicious oats and kefir either cold or hot. Thank you for the great product!",enjoyed kefir since day received set counter every day cup cow milk next day strain plastic strainer wash glass jar put kefir back clean jar next day use kefir soak oat breakfast next day delicious oat kefir either cold hot thank great product
567541,B003JO0VV2,AJEUMP7O3RKDQ,Ramneet Kaur,5,6,5,1303257600,Works just like it's supposed to!,"My grains revived in less time than the instructions suggested, in 2-3 days. However, I live in Florida and my kitchen's been running at about 80 degrees in the afternoon. I had some leftover low fat milk I didn't mind sacrificing, but now I 'm making goat milk kefir like an old pro. Next up is coconut milk. I'm not convinced that will culture without the lactose present, but supposedly it will.",grain revived less time instruction suggested day however live florida kitchen running degree afternoon leftover low fat milk didnt mind sacrificing making goat milk kefir like old pro next coconut milk im convinced culture without lactose present supposedly
567542,B003JO0VV2,A3E8C3M4F7VN8S,Elaine Zacher,2,2,1,1337212800,Kefir Grains Not Working Well,"I received only a sliver of kefir grains -- my grains did not look anything like the grains in the photograph. I understand that, if you work with them over time they expand. I have worked with them twice -- the first time I followed instructions & made successive batches over a 4-day period. The second time I allowed 18 hours. The kefir grains have expanded, but not enough to make a good, thick batch of kefir....and the kefir tastes bitter. It is supposed to taste sour.",received sliver kefir grain grain look anything like grain photograph understand work time expand worked twice first time followed instruction made successive batch day period second time allowed hour kefir grain expanded enough make good thick batch kefirand kefir taste bitter supposed taste sour
